City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,75,100,3.0,RU,1716671006
141,sao lourenco do sul,-31.3653,-51.9783,284.12,79,80,4.85,BR,1716670943
142,chonchi,-42.6128,-73.8092,282.71,80,100,0.87,CL,1716670871
143,tornio,65.8481,24.1466,278.16,61,75,1.25,FI,1716671041
144,robit,12.0167,39.6333,295.95,33,4,1.48,ET,1716671051
145,turkmenbasy,40.0222,52.9552,294.58,35,75,8.75,TM,1716670523
146,port alfred,-33.5906,26.891,288.81,96,67,3.55,ZA,1716671070
147,chibougamau,49.9168,-74.3659,289.94,39,0,3.6,CA,1716670907
148,youghal,51.95,-7.8506,285.71,100,100,6.52,IE,1716671091
149,qaqortoq,60.7167,-46.0333,276.97,65,1,1.64,GL,1716670870
150,udachny,66.4167,112.4,277.84,88,100,7.0,RU,1716671111
151,bocas del toro,9.3333,-82.25,302.63,70,25,2.45,PA,1716671121
152,iskateley,67.6803,53.1512,272.05,79,100,8.94,RU,1716671130
153,bredasdorp,-34.5322,20.0403,286.63,94,21,1.69,ZA,1716671141
154,isola di capo rizzuto,38.96,17.0933,290.47,73,100,1.62,IT,1716671151
155,ocos,14.5094,-92.1933,307.25,66,61,4.27,GT,1716671161
156,greenville,35.6127,-77.3663,304.24,56,40,1.54,US,1716671171
157,laguna,38.421,-121.4238,297.34,53,40,3.09,US,1716671181
158,gaeta,41.2183,13.5628,289.67,89,84,2.59,IT,1716671191
159,salekhard,66.53,66.6019,270.04,87,24,4.92,RU,1716671201
160,holualoa,19.6228,-155.9522,298.06,84,40,4.63,US,1716671211
161,antofagasta,-23.65,-70.4,288.8,83,11,3.3,CL,1716671221
162,ancud,-41.8697,-73.8203,280.92,74,99,4.74,CL,1716671231
163,christchurch,-43.5333,172.6333,280.34,83,90,2.06,NZ,1716671145
164,angus,44.3168,-79.8829,295.28,78,85,3.88,CA,1716671207
165,alofi,-19.0595,-169.9187,299.09,94,75,4.63,NU,1716671262
166,puerto baquerizo moreno,-0.9,-89.6,300.7,61,20,4.12,EC,1716671272
167,stanley,54.868,-1.6985,285.21,94,75,2.06,GB,1716671282
168,ghormach,35.7306,63.7826,294.22,43,0,3.43,AF,1716671296
169,coronel suarez,-37.4547,-61.9334,278.03,53,6,1.99,AR,1716671306
170,kapa'a,22.0752,-159.319,301.14,78,100,5.66,US,1716671316
171,mount gambier,-37.8333,140.7667,277.78,85,5,2.48,AU,1716671326
172,happy valley-goose bay,53.3168,-60.3315,279.32,81,100,6.17,CA,1716671336
173,muang phonsavan,19.45,103.2167,292.46,100,99,0.78,LA,1716671346
174,whakatane,-37.9585,176.9854,287.88,85,60,0.89,NZ,1716671356
175,saint-joseph,-21.3667,55.6167,292.36,82,25,3.27,RE,1716671366
176,niksic,42.7731,18.9445,289.07,95,100,2.14,ME,1716671376
177,cockburn town,21.4612,-71.1419,300.38,75,0,3.5,TC,1716671391
178,popondetta,-8.7537,148.2534,296.8,98,100,1.54,PG,1716671401
179,mendefera,14.8872,38.8153,296.5,34,14,1.23,ER,1716671411
180,markovo,57.3206,107.0881,283.27,77,53,1.44,RU,1716671421
181,midvagur,62.0511,-7.1939,283.61,93,100,7.2,FO,1716671394
182,astrakhan,46.3497,48.0408,285.31,60,0,11.18,RU,1716671313
183,belyy yar,53.6039,91.3903,286.09,88,0,2.0,RU,1716671454
184,macapa,0.0389,-51.0664,298.14,100,20,1.54,BR,1716671367
185,scarborough,54.2797,-0.4044,285.91,92,100,2.68,GB,1716671398
186,atar,20.5169,-13.0499,305.12,14,66,4.13,MR,1716671288
187,chernyshevskiy,63.0128,112.4714,285.42,79,100,1.28,RU,1716671495
188,padangsidempuan,1.3667,99.2667,297.15,93,100,1.64,ID,1716671505
189,sao vicente,-23.9631,-46.3919,293.25,59,100,1.34,BR,1716671515
190,kievka,50.2619,71.5514,280.77,92,77,5.57,KZ,1716671525
191,nyurba,63.2842,118.3319,286.48,73,86,4.05,RU,1716671535
192,murzuq,25.9155,13.9184,307.51,12,46,5.24,LY,1716671546
